Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,label,Standardized_Smiles
CHEMBL237119,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,IC50,'=',0.012,nM,1,CN(C)C(=O)C(c1ccc(-c2ccc(F)cc2)cc1)C(N)C(=O)N1CCC(F)C1
CHEMBL5269668,CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N,IC50,'=',0.09,nM,1,CC#CCN1C(N2CCCC(N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N
CHEMBL4111229,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3ccccc3s1)c(=O)n2C,IC50,'=',0.1,nM,1,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc3ccccc3s1)c(=O)n2C
CHEMBL34062,COc1cc(OC)cc(-c2nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)n2)c1,IC50,'=',0.1,nM,1,COc1cc(OC)cc(-c2nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)n2)c1
CHEMBL4448186,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(Cl)cc1C(=O)O)c(=O)n2C,IC50,'=',0.1,nM,1,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccc(Cl)cc1C(=O)O)c(=O)n2C
CHEMBL186877,COc1cc(OC)cc(-c2nc(-c3ccc(Cl)cc3Cl)c(CN(C)C)c(N(C)C)n2)c1,IC50,'=',0.1,nM,1,COc1cc(OC)cc(-c2nc(-c3ccc(Cl)cc3Cl)c(CN(C)C)c(N(C)C)n2)c1
CHEMBL3806052,N[C@H]1C[C@@H](N2Cc3nn4nccnc4c3C2)CO[C@@H]1c1cc(F)ccc1F,IC50,'=',0.12,nM,1,NC1CC(N2Cc3nn4nccnc4c3C2)COC1c1cc(F)ccc1F
CHEMBL194717,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1Cl,IC50,'=',0.13,nM,1,N#Cc1ccc(NC2CNC(C(=O)N3CCCC3C#N)C2)cc1Cl
CHEMBL456420,N#Cc1ccc(N[C@@H]2CNC(C(=O)N3CCC[C@H]3C#N)C2)cc1C#N,IC50,'=',0.13,nM,1,N#Cc1ccc(NC2CNC(C(=O)N3CCCC3C#N)C2)cc1C#N
CHEMBL5220657,C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,IC50,'=',0.13,nM,1,C=COC(=O)C1CCCN1C(=O)C(N)CCCCN
CHEMBL370046,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1C#N,IC50,'=',0.13,nM,1,N#Cc1ccc(NC2CNC(C(=O)N3CCCC3C#N)C2)cc1C#N
CHEMBL3805966,Cc1cc2ncc3c(n2n1)CN([C@H]1CC[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,IC50,'=',0.14,nM,1,Cc1cc2ncc3c(n2n1)CN(C1CCC(c2cc(F)c(F)cc2F)C(N)C1)C3
CHEMBL5220613,CCOC(=O)/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,IC50,'=',0.14,nM,1,CCOC(=O)C=COC(=O)C1CCCN1C(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C
CHEMBL445437,N#Cc1ccc(N[C@@H]2CNC(C(=O)N3CCC[C@H]3C#N)C2)cc1Cl,IC50,'=',0.15,nM,1,N#Cc1ccc(NC2CNC(C(=O)N3CCCC3C#N)C2)cc1Cl
CHEMBL5220594,C=COC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,IC50,'=',0.16,nM,1,C=COC(=O)C1CCCN1C(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C
CHEMBL3644459,NC(=O)c1[nH]nc2c1CN([C@H]1CSC(c3cc(F)ccc3F)[C@@H](N)C1)C2,IC50,'=',0.17,nM,1,NC(=O)c1[nH]nc2c1CN(C1CSC(c3cc(F)ccc3F)C(N)C1)C2
CHEMBL370540,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](Nc2ccc([N+](=O)[O-])cc2)CN1,IC50,'=',0.18,nM,1,N#CC1CCCN1C(=O)C1CC(Nc2ccc([N+](=O)[O-])cc2)CN1
CHEMBL4465482,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1cc(Cl)ccc1C(=O)O)c(=O)n2C,IC50,'=',0.18,nM,1,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cc(Cl)ccc1C(=O)O)c(=O)n2C
CHEMBL1203953,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)[C@H]1Cc1ccc(F)cc1)Cc1cc(F)c(F)cc1F,IC50,'=',0.18,nM,1,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccc(F)cc1)Cc1cc(F)c(F)cc1F
CHEMBL371143,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1,IC50,'=',0.19,nM,1,N#Cc1ccc(NC2CNC(C(=O)N3CCCC3C#N)C2)cc1
CHEMBL36666,NCc1c(N)nc(-c2cccc(F)c2)nc1-c1ccc(Cl)cc1Cl,IC50,'=',0.2,nM,1,NCc1c(N)nc(-c2cccc(F)c2)nc1-c1ccc(Cl)cc1Cl
CHEMBL34842,NCc1c(N)nc(-c2ccc(F)cc2)nc1-c1ccc(Cl)cc1Cl,IC50,'=',0.2,nM,1,NCc1c(N)nc(-c2ccc(F)cc2)nc1-c1ccc(Cl)cc1Cl
CHEMBL4109453,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3cc(Cl)ccc3s1)c(=O)n2C,IC50,'=',0.2,nM,1,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc3cc(Cl)ccc3s1)c(=O)n2C
CHEMBL2147704,O=C([C@@H]1C[C@H](N2CCN(c3nnnn3-c3ccccc3)CC2)CN1)N1CCSC1,IC50,'=',0.2,nM,1,O=C(C1CC(N2CCN(c3nnnn3-c3ccccc3)CC2)CN1)N1CCSC1
CHEMBL402163,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1.O=C(O)C(F)(F)F,IC50,'=',0.21,nM,1,CS(=O)(=O)c1ccc(-c2noc(C(CC3CC3)C(N)C(F)=C3CCCC3)n2)c(Cl)c1
