Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,label,Standardized_Smiles
CHEMBL1164052,C#CCOCc1cc(Cl)c(Cc2ccc(CC)cc2)cc1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,IC50,'=',0.3,nM,1,C#CCOCc1cc(Cl)c(Cc2ccc(CC)cc2)cc1C1OC(CO)C(O)C(O)C1O
CHEMBL565781,OC[C@H]1O[C@]2(OCc3cc(Cl)c(Cc4ccc(OC(F)(F)F)cc4)cc32)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',0.3,nM,1,OCC1OC2(OCc3cc(Cl)c(Cc4ccc(OC(F)(F)F)cc4)cc32)C(O)C(O)C1O
CHEMBL3703868,CCOc1ccc(Cc2cc([C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)cc(OC)c2Cl)cc1,IC50,'=',0.308,nM,1,CCOc1ccc(Cc2cc(C3OC(SC)C(O)C(O)C3O)cc(OC)c2Cl)cc1
CHEMBL5288495,CCc1ccc(Cc2cc([C@@H]3O[C@H](CO)C(F)(F)[C@H](O)[C@H]3O)ccc2Cl)cc1,IC50,'=',0.35,nM,1,CCc1ccc(Cc2cc(C3OC(CO)C(F)(F)C(O)C3O)ccc2Cl)cc1
CHEMBL3941422,OC[C@@H]1O[C@H](c2cc(Cc3ccc(C4CC4)cc3)c(Cl)c3c2OCO3)[C@@H](O)[C@H](O)[C@H]1O,IC50,'=',0.366,nM,1,OCC1OC(c2cc(Cc3ccc(C4CC4)cc3)c(Cl)c3c2OCO3)C(O)C(O)C1O
CHEMBL3985666,C=Cc1ccc(Cc2cc([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c3c(c2Cl)OCC3)cc1,IC50,'=',0.366,nM,1,C=Cc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c3c(c2Cl)OCC3)cc1
CHEMBL3703920,C=Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)OCC3)cc1,IC50,'=',0.37,nM,1,C=Cc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c3c(c2Cl)OCC3)cc1
CHEMBL3703908,OC[C@H]1O[C@@H](c2cc(Cc3ccc(C4CC4)cc3)c(Cl)c3c2OCO3)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',0.37,nM,1,OCC1OC(c2cc(Cc3ccc(C4CC4)cc3)c(Cl)c3c2OCO3)C(O)C(O)C1O
CHEMBL3703912,CCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)OCO3)cc1,IC50,'=',0.4,nM,1,CCc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c3c(c2Cl)OCO3)cc1
CHEMBL3978611,CCc1ccc(Cc2cc([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c3c(c2Cl)OCO3)cc1,IC50,'=',0.404,nM,1,CCc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c3c(c2Cl)OCO3)cc1
CHEMBL3703785,COc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Br)CCC3)cc1,IC50,'=',0.44,nM,1,COc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c3c(c2Br)CCC3)cc1
CHEMBL3703855,CS[C@H]1O[C@@H](c2cc(Cc3ccc4c(c3)OCCO4)c(Cl)cc2O)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',0.454,nM,1,CSC1OC(c2cc(Cc3ccc4c(c3)OCCO4)c(Cl)cc2O)C(O)C(O)C1O
CHEMBL3703921,OC[C@H]1O[C@@H](c2cc(Cc3ccc(C4CC4)cc3)c(Cl)c3c2CCO3)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',0.46,nM,1,OCC1OC(c2cc(Cc3ccc(C4CC4)cc3)c(Cl)c3c2CCO3)C(O)C(O)C1O
CHEMBL4114400,COc1ccc(Cc2cc([C@@H]3O[C@H](SO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)CCCO3)cc1,IC50,'=',0.47,nM,1,COc1ccc(Cc2cc(C3OC(SO)C(O)C(O)C3O)c3c(c2Cl)CCCO3)cc1
CHEMBL3703870,CN(C)c1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)CCC3)cc1,IC50,'=',0.475,nM,1,CN(C)c1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c3c(c2Cl)CCC3)cc1
CHEMBL4112174,CCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)CCCC3)cc1,IC50,'=',0.49,nM,1,CCc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c3c(c2Cl)CCCC3)cc1
CHEMBL4111780,CCOc1ccc(Cc2cc([C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)OCO3)cc1,IC50,'=',0.49,nM,1,CCOc1ccc(Cc2cc(C3OC(SC)C(O)C(O)C3O)c3c(c2Cl)OCO3)cc1
CHEMBL4297625,CCc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc2c(c1)OCCO2,IC50,'=',0.5,nM,1,CCc1ccc(C2OC(CO)C(O)C(O)C2O)cc1Cc1ccc2c(c1)OCCO2
CHEMBL4113334,COc1ccc(Cc2cc([C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)CCC3)cc1,IC50,'=',0.5,nM,1,COc1ccc(Cc2cc(C3OC(SC)C(O)C(O)C3O)c3c(c2Cl)CCC3)cc1
